playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,yearID,teamID,lgID,salary
hanrajo01,1981.0,10.0,6.0,USA,IA,Des Moines,,,,,,,Joel,Hanrahan,Joel Ryan,255.0,76.0,R,R,2007-07-28,2013-05-06,hanrj001,hanrajo01,2013.0,BOS,AL,7040000.0
happja01,1982.0,10.0,19.0,USA,IL,Peru,,,,,,,J. A.,Happ,James Anthony,205.0,77.0,L,L,2007-06-30,2015-10-04,happj001,happja01,2015.0,SEA,AL,6700000.0
haranaa01,1978.0,5.0,9.0,USA,CA,San Diego,,,,,,,Aaron,Harang,Aaron Michael,260.0,79.0,R,R,2002-05-25,2015-10-03,haraa001,haranaa01,2015.0,PHI,NL,5000000.0
hardyjj01,1982.0,8.0,19.0,USA,AZ,Tucson,,,,,,,J. J.,Hardy,James Jerry,200.0,73.0,R,R,2005-04-04,2015-10-04,hardj003,hardyjj01,2015.0,BAL,AL,11500000.0
harenda01,1980.0,9.0,17.0,USA,CA,Monterey Park,,,,,,,Dan,Haren,Daniel John,215.0,77.0,R,R,2003-06-30,2015-10-04,hared001,harenda01,2015.0,MIA,NL,10000000.0
harrima01,1985.0,9.0,16.0,USA,NC,Durham,,,,,,,Matt,Harrison,Matthew Reid,240.0,76.0,L,L,2008-07-08,2015-07-27,harrm001,harrima01,2013.0,TEX,AL,5200000.0
headlch01,1984.0,5.0,9.0,USA,CO,Fountain,,,,,,,Chase,Headley,Chase Jordan,210.0,74.0,B,R,2007-06-15,2015-10-04,headc001,headlch01,2015.0,NYA,AL,13000000.0
heltoto01,1973.0,8.0,20.0,USA,TN,Knoxville,,,,,,,Todd,Helton,Todd Lynn,220.0,74.0,L,L,1997-08-02,2013-09-29,heltt001,heltoto01,2013.0,COL,NL,6175000.0
hernafe02,1986.0,4.0,8.0,Venezuela,Carabobo,Valencia,,,,,,,Felix,Hernandez,Felix Abraham,225.0,75.0,R,R,2005-08-04,2015-09-26,hernf002,hernafe02,2015.0,SEA,AL,24857000.0
hernaor01,1965.0,10.0,11.0,Cuba,,Villa Clara,,,,,,,Orlando,Hernandez,Orlando P.,210.0,74.0,R,R,1998-06-03,2007-09-30,herno001,hernaor01,2008.0,NYN,NL,7000000.0
hernara02,1976.0,5.0,20.0,Venezuela,Distrito Federal,Caracas,,,,,,,Ramon,Hernandez,Ramon Jose,220.0,72.0,R,R,1999-06-29,2013-06-12,hernr002,hernara02,2013.0,LAN,NL,6000000.0
hernaro01,1964.0,11.0,11.0,P.R.,,Santurce,,,,,,,Roberto,Hernandez,Roberto Manuel,220.0,76.0,R,R,1991-09-02,2007-09-25,hernr001,hernaro01,2012.0,CLE,AL,7000000.0
heywaja01,1989.0,8.0,9.0,USA,NJ,Ridgewood,,,,,,,Jason,Heyward,Jason Alias,245.0,77.0,L,L,2010-04-05,2015-10-04,heywj001,heywaja01,2015.0,SLN,NL,7800000.0
hidalri01,1975.0,6.0,28.0,Venezuela,Distrito Federal,Caracas,,,,,,,Richard,Hidalgo,Richard Jose,220.0,75.0,R,R,1997-09-01,2005-08-04,hidar001,hidalri01,2005.0,TEX,AL,5000000.0
higgibo02,1970.0,8.0,18.0,USA,PA,Philadelphia,,,,,,,Bobby,Higginson,Robert Leigh,180.0,71.0,L,R,1995-04-26,2005-05-05,higgb001,higgibo02,2005.0,DET,AL,8850000.0
hillaa01,1982.0,3.0,21.0,USA,CA,Visalia,,,,,,,Aaron,Hill,Aaron Walter,200.0,71.0,R,R,2005-05-20,2015-10-04,hilla001,hillaa01,2015.0,ARI,NL,12000000.0
hillesh02,1975.0,7.0,27.0,USA,AZ,Mesa,,,,,,,Shea,Hillenbrand,Shea Matthew,200.0,73.0,R,R,2001-04-02,2007-09-20,hills002,hillesh02,2007.0,LAA,AL,6000000.0
hitchst01,1971.0,4.0,29.0,USA,NC,Fayetteville,,,,,,,Sterling,Hitchcock,Sterling Alex,200.0,73.0,L,L,1992-09-11,2004-08-22,hitcs001,hitchst01,2003.0,NYA,AL,6000000.0
hoffmtr01,1967.0,10.0,13.0,USA,CA,Bellflower,,,,,,,Trevor,Hoffman,Trevor William,200.0,73.0,R,R,1993-04-06,2010-09-29,hofft001,hoffmtr01,2010.0,MIL,NL,7500000.0
hollade01,1986.0,10.0,9.0,USA,OH,Newark,,,,,,,Derek,Holland,Derek Lane,205.0,74.0,B,L,2009-04-22,2015-10-01,holld003,hollade01,2015.0,TEX,AL,7400000.0
hollagr01,1985.0,11.0,20.0,USA,NC,Marion,,,,,,,Greg,Holland,Gregory Scott,205.0,70.0,R,R,2010-08-02,2015-09-18,hollg001,hollagr01,2015.0,KCA,AL,8250000.0
hollima01,1980.0,1.0,15.0,USA,OK,Stillwater,,,,,,,Matt,Holliday,Matthew Thomas,250.0,76.0,R,R,2004-04-16,2015-10-04,hollm001,hollima01,2015.0,SLN,NL,17000000.0
hosmeer01,1989.0,10.0,24.0,USA,FL,South Miami,,,,,,,Eric,Hosmer,Eric John,225.0,76.0,L,L,2011-05-06,2015-10-04,hosme001,hosmeer01,2015.0,KCA,AL,5650000.0
howarry01,1979.0,11.0,19.0,USA,MO,St. Louis,,,,,,,Ryan,Howard,Ryan James,250.0,76.0,L,L,2004-09-01,2015-09-14,howar001,howarry01,2015.0,PHI,NL,25000000.0
hudsoor01,1977.0,12.0,12.0,USA,SC,Darlington,,,,,,,Orlando,Hudson,Orlando Thill,190.0,72.0,B,R,2002-07-24,2012-10-03,hudso001,hudsoor01,2012.0,SDN,NL,5500000.0
hudsoti01,1975.0,7.0,14.0,USA,GA,Columbus,,,,,,,Tim,Hudson,Timothy Adam,175.0,73.0,R,R,1999-06-08,2015-10-01,hudst001,hudsoti01,2015.0,SFN,NL,12000000.0
huffau01,1976.0,12.0,20.0,USA,OH,Marion,,,,,,,Aubrey,Huff,Aubrey Lewis,225.0,76.0,L,R,2000-08-02,2012-10-03,huffa001,huffau01,2012.0,SFN,NL,10000000.0
hugheph01,1986.0,6.0,24.0,USA,CA,Mission Viejo,,,,,,,Phil,Hughes,Philip Joseph,250.0,77.0,R,R,2007-04-26,2015-09-30,hughp001,hugheph01,2015.0,MIN,AL,9200000.0
hundlto01,1969.0,5.0,27.0,USA,VA,Martinsville,,,,,,,Todd,Hundley,Todd Randolph,170.0,71.0,B,R,1990-05-18,2003-09-27,hundt001,hundlto01,2004.0,LAN,NL,7000000.0
hunteto01,1975.0,7.0,18.0,USA,AR,Pine Bluff,,,,,,,Torii,Hunter,Torii Kedar,220.0,74.0,R,R,1997-08-22,2015-10-03,huntt001,hunteto01,2015.0,MIN,AL,10500000.0
hunteto02,1986.0,7.0,3.0,USA,IN,Indianapolis,,,,,,,Tommy,Hunter,Raymond Thomas,250.0,75.0,R,R,2008-08-01,2015-09-26,huntt002,hunteto02,2015.0,BAL,AL,4650000.0
iannech01,1983.0,4.0,8.0,USA,RI,Providence,,,,,,,Chris,Iannetta,Christopher Domenic,230.0,72.0,R,R,2006-08-27,2015-09-28,iannc001,iannech01,2015.0,LAA,AL,5525000.0
infanom01,1981.0,12.0,26.0,Venezuela,Anzoategui,Puerto La Cruz,,,,,,,Omar,Infante,Omar Rafael,195.0,71.0,R,R,2002-09-07,2015-09-18,infao001,infanom01,2015.0,KCA,AL,7500000.0
iwakuhi01,1981.0,4.0,12.0,Japan,Tokyo,Higashi Yamato,,,,,,,Hisashi,Iwakuma,Hisashi,210.0,75.0,R,R,2012-04-20,2015-10-02,iwakh001,iwakuhi01,2015.0,SEA,AL,7000000.0
iwamuak01,1979.0,2.0,9.0,Japan,Ehime,Uwajima,,,,,,,Akinori,Iwamura,Akinori,200.0,69.0,L,R,2007-04-02,2010-09-26,iwama001,iwamuak01,2010.0,PIT,NL,4850000.0
jacksau01,1987.0,2.0,1.0,USA,TX,Denton,,,,,,,Austin,Jackson,Austin Jarriel,205.0,73.0,R,R,2010-04-05,2015-10-04,jacka001,jacksau01,2015.0,SEA,AL,7700000.0
jacksda02,1962.0,1.0,5.0,USA,TX,San Antonio,,,,,,,Danny,Jackson,Danny Lynn,205.0,72.0,R,L,1983-09-11,1997-08-07,jackd001,jacksda02,1997.0,SLN,NL,4600000.0
jacksed01,1983.0,9.0,9.0,Germany,,Neu-Ulm,,,,,,,Edwin,Jackson,Edwin,210.0,75.0,R,R,2003-09-09,2015-10-04,jacke001,jacksed01,2015.0,CHN,NL,13000000.0
janseke01,1987.0,9.0,30.0,Curacao,,Willemstad,,,,,,,Kenley,Jansen,Kenley Geronimo,265.0,77.0,B,R,2010-07-24,2015-10-03,jansk001,janseke01,2015.0,LAN,NL,7425000.0
jenkige01,1974.0,7.0,21.0,USA,WA,Olympia,,,,,,,Geoff,Jenkins,Geoffrey Scott,205.0,73.0,L,R,1998-04-24,2008-09-28,jenkg001,jenkige01,2008.0,PHI,NL,5000000.0
jenksbo01,1981.0,3.0,14.0,USA,CA,Mission Hills,,,,,,,Bobby,Jenks,Robert Scott,275.0,76.0,R,R,2005-07-06,2011-07-07,jenkb001,jenksbo01,2012.0,BOS,AL,6000000.0
jeterde01,1974.0,6.0,26.0,USA,NJ,Pequannock,,,,,,,Derek,Jeter,Derek Sanderson,195.0,75.0,R,R,1995-05-29,2014-09-28,jeted001,jeterde01,2014.0,NYA,AL,12000000.0
jimenub01,1984.0,1.0,22.0,D.R.,Maria Trinidad Sanchez,Nagua,,,,,,,Ubaldo,Jimenez,Ubaldo,210.0,77.0,R,R,2006-09-26,2015-10-03,jimeu001,jimenub01,2015.0,BAL,AL,12250000.0
johjike01,1976.0,6.0,8.0,Japan,Nagasaki,Sasebo,,,,,,,Kenji,Johjima,Kenji,205.0,72.0,R,R,2006-04-03,2009-10-03,johjk001,johjike01,2009.0,SEA,AL,7666666.0
johnsch04,1971.0,7.0,20.0,USA,FL,Fort Pierce,,,,,,,Charles,Johnson,Charles Edward,215.0,74.0,R,R,1994-05-06,2005-06-11,johnc002,johnsch04,2004.0,COL,NL,9000000.0
johnsch05,1984.0,10.0,1.0,USA,FL,Naples,,,,,,,Chris,Johnson,Christopher Dalton,225.0,75.0,R,R,2009-09-09,2015-10-02,johnc003,johnsch05,2015.0,ATL,NL,6000000.0
johnsjo09,1984.0,1.0,31.0,USA,MN,Minneapolis,,,,,,,Josh,Johnson,Joshua Michael,250.0,79.0,L,R,2005-09-10,2013-08-06,johnj009,johnsjo09,2013.0,TOR,AL,13750000.0
johnsra05,1963.0,9.0,10.0,USA,CA,Walnut Creek,,,,,,,Randy,Johnson,Randall David,225.0,82.0,R,L,1988-09-15,2009-10-04,johnr005,johnsra05,2009.0,SFN,NL,8000000.0
jonesad01,1985.0,8.0,1.0,USA,CA,San Diego,,,,,,,Adam,Jones,Adam La Marque,215.0,74.0,R,R,2006-07-14,2015-09-27,jonea003,jonesad01,2015.0,BAL,AL,13333333.0
jonesch06,1972.0,4.0,24.0,USA,FL,Deland,,,,,,,Chipper,Jones,Larry Wayne,210.0,76.0,B,R,1993-09-11,2012-10-03,jonec004,jonesch06,2012.0,ATL,NL,14000000.0
jonesga02,1981.0,6.0,21.0,USA,IL,Harvey,,,,,,,Garrett,Jones,Garrett Thomas,235.0,77.0,L,L,2007-05-15,2015-07-29,joneg002,jonesga02,2015.0,NYA,AL,5000000.0
jonesja04,1975.0,4.0,25.0,USA,CA,San Diego,,,,,,,Jacque,Jones,Jacque Dewayne,175.0,70.0,L,L,1999-06-09,2008-06-10,jonej003,jonesja05,2008.0,DET,AL,6333333.0
jonesto02,1968.0,4.0,24.0,USA,GA,Marietta,,,,,,,Todd,Jones,Todd Barton Givin,200.0,75.0,L,R,1993-07-07,2008-08-15,jonet003,jonesto02,2008.0,DET,AL,7000000.0
joycema01,1984.0,8.0,3.0,USA,FL,Tampa,,,,,,,Matthew,Joyce,Matthew Ryan,200.0,74.0,L,R,2008-05-05,2015-09-21,joycm001,joycema01,2015.0,LAA,AL,4750000.0
jurrjja01,1986.0,1.0,29.0,Curacao,,Santa Maria,,,,,,,Jair,Jurrjens,Jair Francoise,200.0,73.0,R,R,2007-08-15,2014-07-09,jurrj001,jurrjja01,2012.0,ATL,NL,5500000.0
justida01,1966.0,4.0,14.0,USA,OH,Cincinnati,,,,,,,David,Justice,David Christopher,195.0,75.0,L,L,1989-05-24,2002-09-29,justd001,justida01,2002.0,OAK,AL,7000000.0
karsast01,1972.0,3.0,24.0,USA,NY,Flushing,,,,,,,Steve,Karsay,Stefan Andrew,210.0,75.0,R,R,1993-08-17,2006-06-17,karss001,karsast01,2005.0,NYA,AL,6000000.0
kawakke01,1975.0,6.0,22.0,Japan,Tokushima,Tokushima,,,,,,,Kenshin,Kawakami,Kenshin,200.0,71.0,R,R,2009-04-11,2010-09-09,kawak001,kawakke01,2010.0,ATL,NL,7333666.0
kazmisc01,1984.0,1.0,24.0,USA,TX,Houston,,,,,,,Scott,Kazmir,Scott Edward,185.0,72.0,L,L,2004-08-23,2015-09-30,kazms001,kazmisc01,2015.0,OAK,AL,13000000.0
kempma01,1984.0,9.0,23.0,USA,OK,Midwest City,,,,,,,Matt,Kemp,Matthew Ryan,210.0,76.0,R,R,2006-05-28,2015-09-29,kempm001,kempma01,2015.0,SDN,NL,21250000.0
kendrho01,1983.0,7.0,12.0,USA,FL,Jacksonville,,,,,,,Howie,Kendrick,Howard Joseph,220.0,71.0,R,R,2006-04-26,2015-10-03,kendh001,kendrho01,2015.0,LAN,NL,9500000.0
kendrky01,1984.0,8.0,26.0,USA,TX,Houston,,,,,,,Kyle,Kendrick,Kyle Rodney,210.0,75.0,R,R,2007-06-13,2015-10-02,kendk001,kendrky01,2015.0,COL,NL,5500000.0
kenneia01,1984.0,12.0,19.0,USA,CA,Huntington Beach,,,,,,,Ian,Kennedy,Ian Patrick,200.0,72.0,R,R,2007-09-01,2015-10-01,kenni001,kenneia01,2015.0,SDN,NL,9850000.0
kentje01,1968.0,3.0,7.0,USA,CA,Bellflower,,,,,,,Jeff,Kent,Jeffrey Franklin,185.0,73.0,R,R,1992-04-12,2008-09-27,kentj001,kentje01,2008.0,LAN,NL,9000000.0
kershcl01,1988.0,3.0,19.0,USA,TX,Dallas,,,,,,,Clayton,Kershaw,Clayton Edward,225.0,76.0,L,L,2008-05-25,2015-10-04,kersc001,kershcl01,2015.0,LAN,NL,32571000.0
