,United States,6.5
106,"Charleston, WV Metropolitan Statistical Area",5.3
106,"Green Bay, WI Metropolitan Statistical Area",5.3
106,"Harrisburg-Carlisle, PA Metropolitan Statistical Area",5.3
106,"Lynchburg, VA Metropolitan Statistical Area",5.3
106,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",5.3
106,"Tallahassee, FL Metropolitan Statistical Area",5.3
106,"Trenton-Ewing, NJ Metropolitan Statistical Area",5.3
106,"Tuscaloosa, AL Metropolitan Statistical Area",5.3
106,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",5.3
115,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",5.4
115,"Corpus Christi, TX Metropolitan Statistical Area",5.4
115,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",5.4
115,"Fairbanks, AK Metropolitan Statistical Area",5.4
115,"Fond du Lac, WI Metropolitan Statistical Area",5.4
115,"Kansas City, MO-KS Metropolitan Statistical Area",5.4
115,"Naples-Marco Island, FL Metropolitan Statistical Area",5.4
115,"Pocatello, ID Metropolitan Statistical Area",5.4
115,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",5.4
115,"Tulsa, OK Metropolitan Statistical Area",5.4
125,"Anderson, SC Metropolitan Statistical Area",5.5
125,"Columbia, SC Metropolitan Statistical Area",5.5
125,"Columbus, OH Metropolitan Statistical Area",5.5
125,"Dothan, AL Metropolitan Statistical Area",5.5
125,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",5.5
125,"Lafayette, IN Metropolitan Statistical Area",5.5
125,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",5.5
125,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",5.5
133,"Bangor, ME Metropolitan NECTA",5.6
133,"Decatur, AL Metropolitan Statistical Area",5.6
133,"Florence-Muscle Shoals, AL Metropolitan Statistical Area",5.6
133,"Gadsden, AL Metropolitan Statistical Area",5.6
133,"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",5.6
